auction_name,auction_player,value,summary_id,date,price,grade,lot_number,auction_house,auction_seller,auction_type,cert,tag,fk_name,fk_url,fk_count,fk_category
topps-magic-photos-all-american-basketball,manhattan,$71.00,633276,7/25/2017,71.00,6,362042965071,eBay,probstein123,Auction,27306384,Average Price,1948 Topps Magic Photos All-American Basketball Manhattan #6B All American Basketball,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-all-american-basketball/manhattan/summary/633276,1,basketball_cards
topps-magic-photos-basketball-thrills,st-louis-university,$75.00,633277,5/28/2020,75.00,5,253063675064,eBay,princecaspian2010,Best Offer,24897542,Most Recent Price,1948 Topps Magic Photos Basketball Thrills St.Louis University #1Q ,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-basketball-thrills/st-louis-university/summary/633277,2,basketball_cards
topps-magic-photos-basketball-thrills,st-louis-university,$75.00,633277,11/13/2016,14.55,4,332024931936,eBay,just_collect,Auction,26279843,Most Recent Price,1948 Topps Magic Photos Basketball Thrills St.Louis University #1Q ,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-basketball-thrills/st-louis-university/summary/633277,2,basketball_cards
topps-magic-photos-basketball-thrills,st-louis-university,$75.00,633277,5/28/2020,75.00,5,253063675064,eBay,princecaspian2010,Best Offer,24897542,Average Price,1948 Topps Magic Photos Basketball Thrills St.Louis University #1Q ,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-basketball-thrills/st-louis-university/summary/633277,2,basketball_cards
topps-magic-photos-basketball-thrills,st-louis-university,$75.00,633277,11/13/2016,14.55,4,332024931936,eBay,just_collect,Auction,26279843,Average Price,1948 Topps Magic Photos Basketball Thrills St.Louis University #1Q ,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-basketball-thrills/st-louis-university/summary/633277,2,basketball_cards
topps-magic-photos-basketball-thrills,st-louis-university,$14.55,633277,5/28/2020,75.00,5,253063675064,eBay,princecaspian2010,Best Offer,24897542,Most Recent Price,1948 Topps Magic Photos Basketball Thrills St.Louis University #1Q ,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-basketball-thrills/st-louis-university/summary/633277,2,basketball_cards
topps-magic-photos-basketball-thrills,st-louis-university,$14.55,633277,11/13/2016,14.55,4,332024931936,eBay,just_collect,Auction,26279843,Most Recent Price,1948 Topps Magic Photos Basketball Thrills St.Louis University #1Q ,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-basketball-thrills/st-louis-university/summary/633277,2,basketball_cards
topps-magic-photos-basketball-thrills,kentucky-58-42,$100.00,633280,8/3/2020,100.00,3,124172774472,eBay,johndb63,Buy It Now,21845022,Most Recent Price,1948 Topps Magic Photos Basketball Thrills Kentucky 58-42 #4Q ,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-basketball-thrills/kentucky-58-42/summary/633280,1,basketball_cards
topps-magic-photos-basketball-thrills,kentucky-58-42,$100.00,633280,8/3/2020,100.00,3,124172774472,eBay,johndb63,Buy It Now,21845022,Average Price,1948 Topps Magic Photos Basketball Thrills Kentucky 58-42 #4Q ,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-basketball-thrills/kentucky-58-42/summary/633280,1,basketball_cards
topps-magic-photos-basketball-thrills,depaul-75-64,$111.00,633281,4/22/2018,111.00,5,352328564654,eBay,pwcc_auctions,Auction,18847137,Most Recent Price,1948 Topps Magic Photos Basketball Thrills DePaul 75 to 64 #5Q ,https://www.psacard.com/auctionprices/basketball-cards/1948-topps-magic-photos-basketball-thrills/depaul-75-64/summary/633281,1,basketball_cards
