auction_player,auction_league,population_id,auction_year,fk_name,fk_url,fk_count,fk_category,Auth,1,1.5,2,3,4,5,6,7,8,9,10,Total
Joe Cooke,topps,49842,1971,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         6', '+': '0', 'Q': '0'}","{'Grade': '        15', '+': '0', 'Q': '0'}","{'Grade': '        71', '+': '0', 'Q': '0'}","{'Grade': '        18', '+': '-', 'Q': '         2'}","{'Grade': '         1', '+': '-', 'Q': '-'}","{'Grade': '112', '+': '0', 'Q': '2'}"
Bob Lanier,topps,49842,1971,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         7', '+': '0', 'Q': '0'}","{'Grade': '        16', '+': '0', 'Q': '0'}","{'Grade': '        30', '+': '         1', 'Q': '0'}","{'Grade': '        88', '+': '         2', 'Q': '         3'}","{'Grade': '       198', '+': '         3', 'Q': '         2'}","{'Grade': '       315', '+': '         2', 'Q': '        36'}","{'Grade': '        46', '+': '-', 'Q': '        32'}","{'Grade': '         3', '+': '-', 'Q': '-'}","{'Grade': '703', '+': '8', 'Q': '73'}"
Don Kojis,topps,49842,1971,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '         5', '+': '0', 'Q': '0'}","{'Grade': '        11', '+': '0', 'Q': '0'}","{'Grade': '        63', '+': '         1', 'Q': '         3'}","{'Grade': '        16', '+': '-', 'Q': '         3'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '96', '+': '1', 'Q': '6'}"
Walt Frazier,topps,49842,1971,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '         1', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '         1', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '         1'}","{'Grade': '        11', '+': '         2', 'Q': '0'}","{'Grade': '        15', '+': '0', 'Q': '0'}","{'Grade': '        48', '+': '         1', 'Q': '0'}","{'Grade': '        95', '+': '         4', 'Q': '         1'}","{'Grade': '       117', '+': '         6', 'Q': '         6'}","{'Grade': '        31', '+': '-', 'Q': '         2'}","{'Grade': '         2', '+': '-', 'Q': '-'}","{'Grade': '320', '+': '14', 'Q': '10'}"
Chet Walker,topps,49842,1971,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         4', '+': '0', 'Q': '0'}","{'Grade': '         9', '+': '0', 'Q': '0'}","{'Grade': '        18', '+': '0', 'Q': '         1'}","{'Grade': '       137', '+': '        11', 'Q': '         3'}","{'Grade': '       111', '+': '-', 'Q': '         2'}","{'Grade': '         6', '+': '-', 'Q': '-'}","{'Grade': '285', '+': '11', 'Q': '6'}"
Dick Garrett,topps,49842,1971,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '        15', '+': '         1', 'Q': '0'}","{'Grade': '        75', '+': '         4', 'Q': '         2'}","{'Grade': '        24', '+': '-', 'Q': '         2'}","{'Grade': '         3', '+': '-', 'Q': '-'}","{'Grade': '120', '+': '5', 'Q': '4'}"
John Trapp,topps,49842,1971,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         5', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '        14', '+': '0', 'Q': '         1'}","{'Grade': '        58', '+': '0', 'Q': '         3'}","{'Grade': '        16', '+': '-', 'Q': '         3'}","{'Grade': '         1', '+': '-', 'Q': '-'}","{'Grade': '96', '+': '0', 'Q': '7'}"
Jo Jo White,topps,49842,1971,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '         1', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         6', '+': '0', 'Q': '0'}","{'Grade': '         9', '+': '0', 'Q': '0'}","{'Grade': '        25', '+': '0', 'Q': '0'}","{'Grade': '        56', '+': '         1', 'Q': '         2'}","{'Grade': '        19', '+': '-', 'Q': '         5'}","{'Grade': '         2', '+': '-', 'Q': '-'}","{'Grade': '118', '+': '1', 'Q': '7'}"
Wilt Chamberlain,topps,49842,1971,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards,"{'Grade': '         1', '+': '-', 'Q': '-'}","{'Grade': '         3', '+': '-', 'Q': '         2'}","{'Grade': '-', '+': '         1', 'Q': '0'}","{'Grade': '         5', '+': '         1', 'Q': '         1'}","{'Grade': '        23', '+': '0', 'Q': '0'}","{'Grade': '        43', '+': '0', 'Q': '         1'}","{'Grade': '        63', '+': '         5', 'Q': '0'}","{'Grade': '       159', '+': '         1', 'Q': '         3'}","{'Grade': '       257', '+': '         6', 'Q': '         6'}","{'Grade': '       252', '+': '         1', 'Q': '        22'}","{'Grade': '        19', '+': '-', 'Q': '         4'}","{'Grade': '         1', '+': '-', 'Q': '-'}","{'Grade': '826', '+': '15', 'Q': '39'}"
Dave Sorenson,topps,49842,1971,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards,"{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '0', '+': '-', 'Q': '0'}","{'Grade': '-', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '0', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '         2', '+': '0', 'Q': '0'}","{'Grade': '        11', '+': '0', 'Q': '0'}","{'Grade': '        65', '+': '         1', 'Q': '         1'}","{'Grade': '        16', '+': '-', 'Q': '         4'}","{'Grade': '0', '+': '-', 'Q': '-'}","{'Grade': '96', '+': '1', 'Q': '5'}"
