name,url,count,category
1992 Skybox USA Basketball Michael Jordan #44  ,https://www.psacard.com/auctionprices/basketball-cards/1992-skybox-usa-basketball/michael-jordan/summary/306989,29,basketball_cards
1992 Skybox USA Basketball Michael Jordan #45 ,https://www.psacard.com/auctionprices/basketball-cards/1992-skybox-usa-basketball/michael-jordan/summary/306990,20,basketball_cards
1992 Skybox USA Basketball Karl Malone #46 ,https://www.psacard.com/auctionprices/basketball-cards/1992-skybox-usa-basketball/karl-malone/summary/721855,1,basketball_cards
1992 Skybox USA Basketball Karl Malone #48 ,https://www.psacard.com/auctionprices/basketball-cards/1992-skybox-usa-basketball/karl-malone/summary/860235,1,basketball_cards
1992 Skybox USA Basketball Chris Mullin #57 ,https://www.psacard.com/auctionprices/basketball-cards/1992-skybox-usa-basketball/chris-mullin/summary/901851,1,basketball_cards
1992 Skybox USA Basketball Scottie Pippen #65 ,https://www.psacard.com/auctionprices/basketball-cards/1992-skybox-usa-basketball/scottie-pippen/summary/901850,1,basketball_cards
1992 Skybox USA Basketball Scottie Pippen #67 ,https://www.psacard.com/auctionprices/basketball-cards/1992-skybox-usa-basketball/scottie-pippen/summary/1916078,1,basketball_cards
1992 Skybox USA Basketball Scottie Pippen #68  ,https://www.psacard.com/auctionprices/basketball-cards/1992-skybox-usa-basketball/scottie-pippen/summary/306993,1,basketball_cards
1992 Skybox USA Basketball David Robinson #73 ,https://www.psacard.com/auctionprices/basketball-cards/1992-skybox-usa-basketball/david-robinson/summary/883645,2,basketball_cards
1992 Skybox USA Basketball David Robinson #74 ,https://www.psacard.com/auctionprices/basketball-cards/1992-skybox-usa-basketball/david-robinson/summary/1753279,1,basketball_cards
1992 Skybox USA Basketball David Robinson #78 ,https://www.psacard.com/auctionprices/basketball-cards/1992-skybox-usa-basketball/david-robinson/summary/860241,2,basketball_cards
1992 Skybox USA Basketball John Stockton #83 ,https://www.psacard.com/auctionprices/basketball-cards/1992-skybox-usa-basketball/john-stockton/summary/901849,2,basketball_cards
1992 Skybox USA Basketball John Stockton #88 ,https://www.psacard.com/auctionprices/basketball-cards/1992-skybox-usa-basketball/john-stockton/summary/1883628,1,basketball_cards
1992 Skybox USA Basketball John Stockton #89 ,https://www.psacard.com/auctionprices/basketball-cards/1992-skybox-usa-basketball/john-stockton/summary/1883632,2,basketball_cards
1992 Skybox USA Basketball Mike Krzyzewski #95  ,https://www.psacard.com/auctionprices/basketball-cards/1992-skybox-usa-basketball/mike-krzyzewski/summary/306997,2,basketball_cards
1992 Skybox USA Basketball Mike Krzyzewski #96  ,https://www.psacard.com/auctionprices/basketball-cards/1992-skybox-usa-basketball/mike-krzyzewski/summary/306998,2,basketball_cards
1992 Skybox USA Basketball Magic on Bird #102  ,https://www.psacard.com/auctionprices/basketball-cards/1992-skybox-usa-basketball/magic-bird/summary/307001,3,basketball_cards
1992 Skybox USA Basketball Magic on Jordan #105  ,https://www.psacard.com/auctionprices/basketball-cards/1992-skybox-usa-basketball/magic-jordan/summary/307003,26,basketball_cards
1992 Skybox USA Basketball Magic on Stockton #110 ,https://www.psacard.com/auctionprices/basketball-cards/1992-skybox-usa-basketball/magic-stockton/summary/860256,1,basketball_cards
1992 St. Vincent US Olympic Basketball Charles Barkley/Chris Mullin/Clyde Drexler/John Stockton/Michael Jordan/Patrick Ewing  Panel,https://www.psacard.com/auctionprices/basketball-cards/1992-st-vincent-us-olympic-basketball/charles-barkley-chris-mullin-clyde-drexler-john-stockton-michael-jordan-patrick-ewing/summary/2517663,4,basketball_cards
1992 St. Vincent US Olympic Basketball David Robinson  Stamp,https://www.psacard.com/auctionprices/basketball-cards/1992-st-vincent-us-olympic-basketball/david-robinson/summary/2627521,1,basketball_cards
1992 St. Vincent US Olympic Basketball Larry Bird  Stamp,https://www.psacard.com/auctionprices/basketball-cards/1992-st-vincent-us-olympic-basketball/larry-bird/summary/2627527,3,basketball_cards
1992 Upper Deck Wilt Chamberlain Heroes Wilt Chamberlain #18 Basketball Heroes CL,https://www.psacard.com/auctionprices/basketball-cards/1992-upper-deck-wilt-chamberlain-heroes/wilt-chamberlain/summary/437929,3,basketball_cards
1993 Skybox Pepsi Shaq Attaq Palming Basketball #1 ,https://www.psacard.com/auctionprices/basketball-cards/1993-skybox-pepsi-shaq-attaq/palming-basketball/summary/728960,4,basketball_cards
1994 Flair USA Basketball Joe Dumars #19 Golden Moment,https://www.psacard.com/auctionprices/basketball-cards/1994-flair-usa-basketball/joe-dumars/summary/448278,1,basketball_cards
1994 Flair USA Basketball Reggie Miller #61 ,https://www.psacard.com/auctionprices/basketball-cards/1994-flair-usa-basketball/reggie-miller/summary/678033,1,basketball_cards
1994 Flair USA Basketball Shaquille O'Neal #74 Career Highlights,https://www.psacard.com/auctionprices/basketball-cards/1994-flair-usa-basketball/shaquille-oneal/summary/448282,2,basketball_cards
1994 Flair USA Basketball Shaquille O'Neal #77 Rookie Year,https://www.psacard.com/auctionprices/basketball-cards/1994-flair-usa-basketball/shaquille-oneal/summary/448285,3,basketball_cards
1994 Flair USA Basketball Shaquille O'Neal #78 Weights & Measures,https://www.psacard.com/auctionprices/basketball-cards/1994-flair-usa-basketball/shaquille-oneal/summary/448286,3,basketball_cards
1994 Flair USA Basketball Shaquille O'Neal #79 Personal Note,https://www.psacard.com/auctionprices/basketball-cards/1994-flair-usa-basketball/shaquille-oneal/summary/448287,2,basketball_cards
1994 Flair USA Basketball Shaquille O'Neal #80 Dreamscapes,https://www.psacard.com/auctionprices/basketball-cards/1994-flair-usa-basketball/shaquille-oneal/summary/448288,5,basketball_cards
1994 Flair USA Basketball Carol Blazejowski #113 ,https://www.psacard.com/auctionprices/basketball-cards/1994-flair-usa-basketball/carol-blazejowski/summary/448292,7,basketball_cards
1994 Flair USA Basketball Teresa Edwards #114 ,https://www.psacard.com/auctionprices/basketball-cards/1994-flair-usa-basketball/teresa-edwards/summary/669908,2,basketball_cards
1994 Flair USA Basketball N. Lieberman-Cline #115 ,https://www.psacard.com/auctionprices/basketball-cards/1994-flair-usa-basketball/n-lieberman-cline/summary/448293,3,basketball_cards
1994 Flair USA Basketball Nancy Lieberman-Cline #115 ,https://www.psacard.com/auctionprices/basketball-cards/1994-flair-usa-basketball/nancy-lieberman-cline/summary/1701640,4,basketball_cards
1994 Flair USA Basketball Ann Meyers #116 ,https://www.psacard.com/auctionprices/basketball-cards/1994-flair-usa-basketball/ann-meyers/summary/448294,7,basketball_cards
1994 Flair USA Basketball Pat Summitt #117 ,https://www.psacard.com/auctionprices/basketball-cards/1994-flair-usa-basketball/pat-summitt/summary/448295,1,basketball_cards
1994 Flair USA Basketball Lynette Woodard #118 ,https://www.psacard.com/auctionprices/basketball-cards/1994-flair-usa-basketball/lynette-woodard/summary/448296,8,basketball_cards
1994 Flair USA Basketball Checklist #120 ,https://www.psacard.com/auctionprices/basketball-cards/1994-flair-usa-basketball/checklist/summary/874289,2,basketball_cards
1994 Skybox USA Basketball Shawn Kemp #17 ,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball/shawn-kemp/summary/2684176,1,basketball_cards
1994 Skybox USA Basketball Joe Dumars #51 ,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball/joe-dumars/summary/307011,1,basketball_cards
1994 Skybox USA Basketball Joe Dumars #54 ,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball/joe-dumars/summary/705932,1,basketball_cards
1994 Skybox USA Basketball Shaquille O'Neal #67 Gold,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball/shaquille-oneal/summary/703289,2,basketball_cards
1994 Skybox USA Basketball Shaquille O'Neal #67 ,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball/shaquille-oneal/summary/307016,5,basketball_cards
1994 Skybox USA Basketball Shaquille O'Neal #68 Gold,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball/shaquille-oneal/summary/848902,1,basketball_cards
1994 Skybox USA Basketball Shaquille O'Neal #68 ,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball/shaquille-oneal/summary/307018,6,basketball_cards
1994 Skybox USA Basketball Shaquille O'Neal #70 ,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball/shaquille-oneal/summary/307020,1,basketball_cards
1994 Skybox USA Basketball Shaquille O'Neal #70 Gold,https://www.psacard.com/auctionprices/basketball-cards/1994-skybox-usa-basketball/shaquille-oneal/summary/852665,1,basketball_cards
